sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
21CANCOOLERS12PK	X002KP8X71	B08CD3RRN2	21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold	New	17.99	No		Yes	0	0	0	0	0	0.08	0	0	0	0	0	0
21CANCOOLERS12PK-NEW	X002NEAX6X	B08CD3RRN2	21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold	New	17.99	No		Yes	204	153	4	47	205	0.08	0	0	1	0	0	0
30THCANCOOLERS12PK-NEW	X002LUKDRN	B07TLYBGV7	Happy 30th Birthday Decorations for Him, Dirty Thirty Birthday Beverage Can Cooler Sleeves, Insulated Holder Gift Ideas and Party Favors for Men, 12-Pack, Black & Gold	New	17.99	No		Yes	338	156	10	172	500	0.07	0	0	162	0	0	0
40THCANCOOLERS12PK-NEW	X002LUBY5N	B07SFXXJKL	Happy 40th Birthday Decorations for Men, Insulated Can Beverage Sleeve, Birthday Party Favors for Him, 40 Year Old Birthday Gift Ideas, 12-Pack, Black & Gold	New	17.99	No		Yes	791	334	13	444	822	0.08	0	0	31	0	0	0
50THCOOLERS12PK	X0023EACTV	B07NLD3D9H	Happy 50th Birthday Party Decorations for Men, Insulated Can Coolers as Dad's Birthday Decorations and Party Favors, Beer Sleeves 50th Birthday Gifts for Men, 12-Pack, Black & Gold	New	17.99	No		Yes	0	0	0	0	0	0.07	0	0	0	0	0	0
50THCOOLERS12PK-NEW	X002LURSBH	B07NLD3D9H	Happy 50th Birthday Party Decorations for Men, Insulated Can Coolers as Dad's Birthday Decorations and Party Favors, Beer Sleeves 50th Birthday Gifts for Men, 12-Pack, Black & Gold	New	17.99	No		Yes	740	150	7	579	741	0.07	0	0	1	4	0	80
60THCANCOOLERS12PK-NEW	X002LURW63	B07VBJ8G8F	60th Birthday Decor and Party Favors, Beverage Sleeves Gift for Dad's 60th Birthday Party, Decorations and Party Supply, 60s Birthday Decorations for Men, 12-Pack, Black & Gold	New	17.99	No		Yes	538	410	5	123	562	0.07	0	0	24	0	0	0
BACHELOR13CANPK	X0029VEE6F	B07WDKX1K4	Bachelor Party Decorations for Men - Groomsmen & Groom Beverage Can Cooler Sleeves & Party Game - Bachelor Party Favors for Wedding, Insulated Holders, 13 Pack, Black and Gold	New	17.99	No		Yes	277	271	1	5	277	0.09	0	0	0	0	0	0
DOGMOM-2PK	X002NRWPM5	B08H5T4RCP	Dog Mom Beverage Can Coolers - Gifts for Dog Lovers & Dog Decorations for the Home - Insulated Drink Holders for Mom - Dog Paw Decoration Beer Cooler Sleeves for Women - 2-Pack, Grey	New	8.99	No		Yes	749	315	0	434	749	0.01	0	0	0	0	0	0
GW-3I8L-Q5Q4	B07JRDYPF8	B07JRDYPF8	Firefighter Gifts for Men - Thin Red Line Beverage Can Cooler Sleeves, Fireman Gifts, Insulated Beer Holder with Red Stripe American Flag, Fire Department Gift Ideas, Fire Fighter Accessory, 6-Pack	New	14.99	No		Yes	234	229	1	4	235	0.03	0	0	1	0	0	0
HBYL12PK	X002KPK1IF	B08CD3HTCF	Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold	New	17.99	No		Yes	3	0	3	0	3	0.09	0	0	0	0	0	0
HBYL12PK-NEW	X002NEMD2P	B08CD3HTCF	Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold	New	17.99	No		Yes	98	95	1	0	98	0.09	0	0	0	2	0	0
II-Z6VA-0B45	B07JQHNLFZ	B07JQHNLFZ	Police Officer Gifts for Men - Thin Blue Line Beverage Can Cooler Sleeves - Law Enforcement Blue Lives Matter Insulated Beer Holder with Blue Stripe American Flag - Police Department Ideas, 6-Pack	New	14.99	No		Yes	292	287	3	2	292	0.03	0	0	0	0	0	0
JS-YF8H-Q28N	B07SFXXJKL	B07SFXXJKL	Happy 40th Birthday Decorations for Men, Insulated Can Beverage Sleeve, Birthday Party Favors for Him, 40 Year Old Birthday Gift Ideas, 12-Pack, Black & Gold	New	18.49	No		Yes	1	0	0	1	1	0.08	0	0	0	0	0	0
MANCAVE-6PK	X002NRYJZB	B08H5T1VKR	Man Cave Beverage Can Coolers - Cool Stuff for Men, Home Bar Accessories & Man Cave Decor, Beer Cooler Sleeves for Him - Insulated Drink Holders for Dad, Mancave Items - 6-Pack, Black	New	6.99	No		Yes	18	18	0	0	18	0.03	0	0	0	0	0	0
MRMRSCOOLERS2PK	X0024FT9FR	B07QX99H18	Gold Coastal Beverage Can Coolers & Heart Bottle Opener, 2 Pack	New	9.99	No		Yes	308	305	0	1	308	0.01	0	0	0	2	0	0
RETIREMENTCOOLERS6PK	X0021B82Q1	B07NCZF98B	Retirement Gifts for Men & Women - Beverage Can Coolers - Vacation Beer Sleeves for Retirement Party Decorations & Supplies, Retired Gift Ideas - Insulated Drink Holder with Palm Tree Design, 6-Pack	New	15.99	No		Yes	186	174	0	11	186	0.03	0	0	0	1	0	0
YC-O9BL-ETGD	X002BKAN6T	B07Y5PBS86	Bachelorette Party Favors - 13 Pack Bridal Shower Decor Can Coolers with Party Game - Bachelorette Gifts for Bride, 13 Beer Can Insulated Sleeves Bachelorette Party Supplies, White, Pink with Gold	New	17.99	No		Yes	445	442	2	1	445	0.08	0	0	0	0	0	0
ZS-DQP0-LB7B	X001VYT6SR	B07H7MFZ8R	Fishing Gifts For Men & Women Can Cooler 6-Pack, Insulated Beer Sleeves Bundle for Bass, Trout, Saltwater and Fly Fishing, Patriotic Gift for Dad, Grandpa, Brother, Boyfriend [Navy Blue American Flag]	New	14.99	No		Yes	280	280	0	0	280	0.03	0	0	0	0	0	0
