sku	fnsku	asin	product-name	product-group	brand	fulfilled-by	your-price	sales-price	longest-side	median-side	shortest-side	length-and-girth	unit-of-dimension	item-package-weight	unit-of-weight	product-size-tier	currency	estimated-fee-total	estimated-referral-fee-per-unit	estimated-variable-closing-fee	estimated-order-handling-fee-per-order	estimated-pick-pack-fee-per-unit	estimated-weight-handling-fee-per-unit	expected-fulfillment-fee-per-unit	estimated-future-fee (Current Selling on Amazon + Future Fulfillment fees)	estimated-future-order-handling-fee-per-order	estimated-future-pick-pack-fee-per-unit	estimated-future-weight-handling-fee-per-unit	expected-future-fulfillment-fee-per-unit
MANCAVE-6PK	X002NRYJZB	B08H5T1VKR	Man Cave 6-Pack	Kitchen	Gold Coastal	Amazon	20.27	20.27	14.5	13.0	5.89	52.3	centimeters	100.02	grams	Standard	CAD	11.74	3.04	0.00	--	--	--	8.70	11.74	--	--	--	8.70
MANCAVE-6PK	X002NRYJZB	B08H5T1VKR	Man Cave Beverage Can Coolers - Cool Stuff for Men, Home Bar Accessories & Man Cave Decor, Beer Cooler Sleeves for Him - Insulated Drink Holders for Dad, Mancave Items - 6-Pack, Black	Kitchen	Gold Coastal	Amazon	6.99	6.99	5.71	5.12	2.32	20.59	inches	0.22	pounds	UsLargeStandardSize	USD	4.82	1.05	0.00	--	--	--	3.77	4.82	--	--	--	3.77
DOGMOM-2PK	X002NRWPM5	B08H5T4RCP	Dog Mom Beverage Can Coolers - Gifts for Dog Lovers & Dog Decorations for the Home - Insulated Drink Holders for Mom - Dog Paw Decoration Beer Cooler Sleeves for Women - 2-Pack, Grey	Kitchen	Gold Coastal	Amazon	20.88	20.88	12.9	10.1	2.6	38.3	centimeters	18.01	grams	Standard	CAD	11.83	3.13	0.00	--	--	--	8.70	11.83	--	--	--	8.70
DOGMOM-2PK	X002NRWPM5	B08H5T4RCP	Dog Mom Beverage Can Coolers - Gifts for Dog Lovers & Dog Decorations for the Home - Insulated Drink Holders for Mom - Dog Paw Decoration Beer Cooler Sleeves for Women - 2-Pack, Grey	Kitchen	Gold Coastal	Amazon	8.99	8.99	5.08	3.98	1.02	15.08	inches	0.04	pounds	UsLargeStandardSize	USD	4.89	1.35	0.00	--	--	--	3.54	4.89	--	--	--	3.54
HBYL12PK-NEW	X002NEMD2P	B08CD3HTCF	Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	32.76	32.76	20.8	14.5	8.1	66.0	centimeters	99.02	grams	Standard	CAD	13.61	4.91	0.00	--	--	--	8.70	13.61	--	--	--	8.70
HBYL12PK-NEW	X002NEMD2P	B08CD3HTCF	Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	17.99	17.99	8.19	5.71	3.19	25.98	inches	0.22	pounds	UsLargeStandardSize	USD	7.84	2.70	0.00	--	--	--	5.14	7.84	--	--	--	5.14
21CANCOOLERS12PK-NEW	X002NEAX6X	B08CD3RRN2	21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	32.80	32.80	21.41	15.01	6.91	65.25	centimeters	109.0	grams	Standard	CAD	13.62	4.92	0.00	--	--	--	8.70	13.62	--	--	--	8.70
21CANCOOLERS12PK-NEW	X002NEAX6X	B08CD3RRN2	21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	17.89	17.89	8.43	5.91	2.72	25.69	inches	0.24	pounds	UsLargeStandardSize	USD	7.20	2.68	0.00	--	--	--	4.52	7.20	--	--	--	4.52
60THCANCOOLERS12PK-NEW	X002LURW63	B07VBJ8G8F	60th Birthday Decor and Party Favors, Beverage Sleeves Gift for Dad's 60th Birthday Party, Decorations and Party Supply, 60s Birthday Decorations for Men, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	27.50	27.50	19.61	14.4	6.81	62.03	centimeters	90.99	grams	Standard	CAD	12.83	4.13	0.00	--	--	--	8.70	12.83	--	--	--	8.70
60THCANCOOLERS12PK-NEW	X002LURW63	B07VBJ8G8F	60th Birthday Decor and Party Favors, Beverage Sleeves Gift for Dad's 60th Birthday Party, Decorations and Party Supply, 60s Birthday Decorations for Men, 12-Pack, Black & Gold	Kitchen	Gold Coastal	Amazon	17.99	17.99	7.72	5.67	2.68	24.42	inches	0.2	pounds	UsLargeStandardSize	USD	7.22	2.70	0.00	--	--	--	4.52	7.22	--	--	--	4.52
